code,description,minutes,category,date_updated
POS2421,Установка POS-терминала,90,POS-терминалы,15.01.2026
POS2422,Замена POS-терминала,60,POS-терминалы,15.01.2026
POS2423,Настройка POS-терминала,45,POS-терминалы,15.01.2026
POS2424,Диагностика POS-терминала,30,POS-терминалы,
POS2425,Ремонт POS-терминала,120,POS-терминалы,20.01.2026
KASS001,Установка кассы,120,Кассы,15.01.2026
KASS002,Замена кассы,90,Кассы,
KASS003,Настройка кассового ПО,60,Кассы,
KASS004,Регистрация ККТ в ФНС,45,Кассы,22.01.2026
NET001,Настройка роутера,30,Сетевое оборудование,
NET002,Замена роутера,45,Сетевое оборудование,
NET003,Диагностика сети,60,Сетевое оборудование,18.01.2026
NET004,Прокладка кабеля (до 10м),30,Сетевое оборудование,
SOFT001,Установка ПО,30,Программное обеспечение,
SOFT002,Обновление ПО,20,Программное обеспечение,
SOFT003,Настройка ПО,45,Программное обеспечение,
SOFT004,Переустановка ОС,90,Программное обеспечение,25.01.2026
